cargo_class,distance_km,weather_severity,traffic_density,driver_fatigue_proxy,incidents_on_route,warehouse_load_factor,historical_delay_rate_for_route,time_of_day,day_of_week,delayed,delay_minutes
standard,1031.2583626655091,0.18182496720710062,0.34198580528798495,5.24092647086659,0,0.9485328751828441,0.3941052891529623,0,2,0,0.0
standard,77.45534340163681,0.18340450985343382,0.8995852164620958,11.480809059645297,0,0.9234489868091573,0.11208347293616361,8,6,0,0.0
pharmaceutical,63.56729524141787,0.3042422429595377,0.7418129092665151,0.36213914415588255,1,0.5305834590223266,0.2617059452659604,1,4,0,0.0
perishable,518.2469098804638,0.5247564316322378,0.9721829681870411,1.4384427475518948,2,0.8632861774824063,0.329083723534954,7,4,1,110.86375513438617
pharmaceutical,246.57403442121625,0.43194501864211576,0.5990715103352405,9.259232309255056,0,0.9237759597387745,0.2699946499497376,23,1,0,0.0
standard,557.4121674747196,0.2912291401980419,0.24171373209131797,4.077480053780804,0,0.7327784797879815,0.36392766455095016,7,5,0,0.0
standard,395.2344243303749,0.6118528947223795,0.32765502992164286,13.31940705760669,0,0.6889054348956807,0.26024779348551963,19,0,0,0.0
standard,105.61404843536407,0.13949386065204183,0.3198359232919671,6.104848569292266,0,0.7703207233162468,0.3392534921418132,1,5,0,0.0
perishable,1823.1430854917962,0.29214464853521815,0.3264943276632516,6.011107485448478,1,0.414142460235095,0.11152899352948382,1,3,0,0.0
standard,66.03510620833848,0.3663618432936917,0.6729641731118157,9.493113142673037,0,0.36114057334660155,0.14172236302261454,22,5,0,0.0
standard,1485.3601814573165,0.45606998421703593,0.5308079280904162,10.745959872286655,1,0.8741051924769805,0.2054240020863578,0,3,1,43.44359988311838
standard,346.68837949305725,0.7851759613930136,0.3854241780866443,6.657822333751911,0,0.7013283589738,0.34806619914214765,1,6,0,0.0
pharmaceutical,1828.84776289922,0.19967378215835974,0.1490897687287166,2.996012623964138,0,0.3857510432346863,0.1992957872240243,2,5,0,0.0
standard,1790.9520822002773,0.5142344384136116,0.022139162942145907,10.826320998158703,0,0.5914226190014086,0.2696106282069636,22,2,0,0.0
perishable,1325.107235420052,0.5924145688620425,0.2188346775876926,4.484917848230786,2,0.5087640600151654,0.18853406067210293,11,0,1,63.52352129828418
standard,1360.8565921111801,0.046450412719997725,0.10747140396868127,2.4515507701140065,0,0.9128345679579788,0.3320021361909842,7,0,0,0.0
standard,60.411326840892656,0.6075448519014384,0.7854450308522394,8.842962658950185,0,0.6550541268022019,0.12010065518680468,19,0,0,0.0
standard,1970.499553921524,0.17052412368729153,0.11249795781388539,1.2663513378649056,1,0.7042587822722701,0.25781931731398444,19,2,0,0.0
standard,1761.773576972838,0.06505159298527952,0.7242282373068362,13.598937451204769,0,0.4647032834498374,0.25226156591839344,16,3,0,0.0
standard,1795.4571401736794,0.9488855372533332,0.38565868977608264,8.853561701769918,0,0.8593444833139388,0.19113463881159554,12,0,0,0.0
standard,1335.5268472492003,0.9656320330745594,0.07337838974377597,13.802537292904582,1,0.9510709013176382,0.29679481981272304,0,3,1,136.94079414651077
standard,722.3345108763463,0.8083973481164611,0.8127300494315858,4.744507928700905,1,0.8547460440889305,0.05996681280859238,22,3,0,0.0
standard,1792.6148657264375,0.3046137691733707,0.5796305702366134,13.59687225666557,0,0.6450014002384503,0.3445249959947863,10,2,0,0.0
standard,618.4580098948251,0.09767211400638387,0.23576151286357305,2.03787146820073,1,0.8845622522347043,0.17178783035028938,8,3,0,0.0
perishable,1147.2875095172956,0.6842330265121569,0.8946811743326679,0.5697268128583983,1,0.43157120981368663,0.3275578993511986,1,1,1,59.43906768940113
standard,244.47539607057067,0.4401524937396013,0.04525831387055146,0.46177684636443583,0,0.3793895620272501,0.15677082205487328,11,3,0,0.0
standard,1847.8134787588629,0.12203823484477883,0.2018196081977629,6.508185188389179,0,0.6067533842027482,0.11576726348365678,10,6,0,0.0
standard,324.50239265386597,0.4951769101112702,0.752046927805861,1.1620587647003269,1,0.42707412695502495,0.18632131557970538,6,1,0,0.0
standard,488.5487711742942,0.034388521115218396,0.7093779303098892,7.170350378346424,0,0.4814123892800243,0.32907843354663135,15,0,0,0.0
standard,1138.3616083500192,0.9093204020787821,0.28927169372447803,4.585007049124607,0,0.7095817310768857,0.29623131234991534,14,5,0,0.0
standard,1539.981350415314,0.2587799816000169,0.062024875352783115,4.698805894637618,0,0.5827321796486196,0.19036092065309018,23,1,0,0.0
perishable,1257.735046575783,0.662522284353982,0.8580780722249438,8.898525951632378,1,0.9061147957273084,0.3782540535438328,4,0,1,140.1584064886486
standard,502.6611299603045,0.31171107608941095,0.3136976380699026,2.2833720861226823,2,0.4579286418325894,0.19307166504780604,16,5,1,60.332060900103826
standard,51.838932928606155,0.5200680211778108,0.19571341492826522,10.731747184756234,1,0.997753489276237,0.1727634549026697,7,1,1,71.97527348936165
standard,1526.4436315995065,0.5467102793432796,0.5160618223609771,8.148432876900886,0,0.5515753911484758,0.10065161883394218,18,6,0,0.0
pharmaceutical,1971.1542855266327,0.18485445552552704,0.9102271992824473,12.809224803865153,2,0.6607819954614678,0.07459752601083008,20,1,1,147.1175854272599
perishable,1629.3305845968764,0.9695846277645586,0.043546577843375345,5.107769152745328,3,0.39263247686610103,0.17246584134801912,22,0,1,159.69634418694764
standard,947.4029054053999,0.7751328233611146,0.7658040880308877,13.758009888939757,2,0.7055093089222979,0.08220076517021943,6,2,1,184.89277498082248
standard,1812.3461597282578,0.9394989415641891,0.5724732279387089,8.061587053996325,1,0.9728994261044268,0.21192223526106374,6,3,1,65.67971552074614
standard,849.2029625807826,0.8948273504276488,0.42544911655181694,13.627627386625473,0,0.8245784445139079,0.3510033403002605,12,1,1,55.6857874998675
standard,1073.6214642747618,0.5978999788110851,0.74408044410506,0.3788491566596146,1,0.4708381921046628,0.21664082844315458,17,4,0,0.0
standard,980.4030464215823,0.9218742350231168,0.9658244244416323,10.19166851377343,1,0.609828197583844,0.218203342395055,17,2,1,48.725038149798515
standard,922.8665516977736,0.0884925020519195,0.22920621116269102,11.432701340098308,0,0.5978033198203332,0.1387042173382978,2,6,0,0.0
standard,1561.622000123116,0.1959828624191452,0.14364736507211961,0.744426013470826,0,0.368563437314757,0.10820345158193882,5,5,0,0.0
standard,1077.1993691755094,0.045227288910538066,0.912881745222697,8.10557529622744,0,0.9200951264743662,0.1278151004787366,15,3,0,0.0
perishable,667.5983879491713,0.32533033076326434,0.6689530774573037,11.227192110252277,1,0.5670192349825138,0.24879596784290586,9,2,1,68.25178628505063
perishable,553.4084269340327,0.388677289689482,0.437986021561966,7.854542153123019,0,0.6459817277728662,0.2571275900380376,1,2,0,0.0
standard,123.6072680864951,0.2713490317738959,0.5732595702642831,0.8933902656765329,0,0.503873442413598,0.12706572743646644,12,0,0,0.0
standard,1187.2305656719398,0.8287375091519293,0.745613905176244,9.70826137257636,1,0.40667693875141625,0.18962213098108882,6,4,1,105.87511657621022
standard,498.4247600320167,0.3567533266935893,0.7730318987057172,0.8483568054263209,1,0.9314774338400316,0.24903893953527717,12,6,1,26.807946578221085
standard,338.861147931947,0.28093450968738076,0.9198941808189646,11.444564530230139,0,0.3261782343620705,0.31616171347848265,8,6,0,0.0
standard,1324.9684294639715,0.5426960831582485,0.42684278889562266,0.6024785662937215,1,0.5799156509212914,0.16191927601485273,1,3,0,0.0
standard,1378.3580527520203,0.14092422497476265,0.293410910019395,1.9235633341451912,0,0.8114867988628875,0.1449749220053338,7,6,0,0.0
standard,1516.7020399024486,0.8021969807540397,0.6396642667898419,3.851506267325759,1,0.5162005427406062,0.30566344976262116,7,6,0,0.0
standard,1031.9749478602535,0.07455064367977082,0.41572789927953036,8.8671070916512,1,0.6122200248735721,0.22983425975818716,7,2,0,0.0
standard,1793.4064801475788,0.9868869366005173,0.5945984539489779,13.669027394838283,0,0.6951340757238806,0.3498613069180637,1,0,1,121.40823087445068
perishable,1875.8683691265442,0.7722447692966574,0.4199857984559502,1.6495199366790818,0,0.9965571285650652,0.12385105713556123,14,3,0,0.0
perishable,1624.3733325953544,0.1987156815341724,0.15299578667817448,1.9979073689948579,0,0.8308109364606064,0.31983000663193745,2,0,0,0.0
standard,1289.407289915965,0.005522117123602399,0.4694267516589584,5.1641855538137245,2,0.9769807616297532,0.10671172759612832,19,3,0,0.0
standard,642.2558595028179,0.8154614284548342,0.6909178219410328,11.707067928574483,0,0.7852018317925523,0.25466993557387285,13,2,1,39.352251731568295
standard,1966.7425971594314,0.7068573438476171,0.7992838076676498,6.5412333385113985,0,0.48833702166472864,0.14927179791014022,21,1,0,0.0
pharmaceutical,584.5655260242797,0.7290071680409873,0.49332627679654684,4.502548403581503,1,0.5012421663280202,0.08538183515985606,1,5,0,0.0
standard,445.18099788134055,0.7712703466859457,0.16523789021040092,7.856853650924058,3,0.875725012357071,0.2658676115985,4,5,1,108.98712900348994
standard,912.2005218838364,0.07404465173409036,0.4146877096494316,3.6473247642405004,2,0.5993994438376726,0.22737963596362148,8,4,0,0.0
standard,160.8391128891575,0.3584657285442726,0.7862939288416982,5.616238701465293,0,0.5591569353822896,0.22009306599118478,21,6,0,0.0
standard,1958.064206109992,0.11586905952512971,0.41285927061707284,4.656472089248586,2,0.9615658184610567,0.257381799608826,7,5,1,73.20901547886703
perishable,1197.4454350120284,0.8631034258755935,0.6965307936042223,11.257974313805043,0,0.3092632165295263,0.1803530261092699,1,1,1,51.67463764705057
standard,1136.0565787451417,0.6232981268275579,0.5072136816780898,12.939580170132011,0,0.6674768196413035,0.28455864661325075,3,1,0,0.0
standard,1328.8027458044537,0.3308980248526492,0.2412231251093967,10.634010690196765,2,0.8425536601014736,0.09579530582847842,21,2,1,85.5681435123174
perishable,1019.1961131655529,0.06355835028602363,0.7961505080230743,6.147170064419769,0,0.8153183113277269,0.3002400192728314,19,6,0,0.0
standard,112.52385833435608,0.3109823217156622,0.08421345407068703,7.060689684953293,3,0.5573020709965872,0.25293479999824436,17,0,1,126.28471029486548
pharmaceutical,1244.0070132387737,0.32518332202674705,0.5248902827551506,1.7510317150120995,0,0.6749538182857693,0.22026542401252697,22,6,0,0.0
perishable,1446.5390600650398,0.7296061783380641,0.20889103424340494,10.45610595588353,1,0.30390410628151215,0.0946776399887737,1,4,1,61.46826640823083
standard,862.6606682169037,0.6375574713552131,0.06706562854137565,8.350659511530617,1,0.6743811887912117,0.14739256782381818,11,1,0,0.0
standard,1526.7263655388263,0.8872127425763265,0.5029339370832488,12.63415994592411,2,0.7132808584795951,0.1533538025168537,5,0,1,145.18573510009463
perishable,492.6525337099202,0.4722149251619493,0.4995621559349236,2.8085560100521447,0,0.9123539363145476,0.13183442886847724,1,4,0,0.0
standard,481.48935257905885,0.1195942459383017,0.7069009016757208,10.63616570705657,0,0.44751608886707095,0.38396290428214086,20,2,0,0.0
pharmaceutical,364.7631259907692,0.713244787222995,0.7447506930519049,9.585403264068656,3,0.877601998685466,0.37047454524716517,11,5,1,193.98013257252543
perishable,775.3897815888656,0.7607850486168974,0.7277914886928968,3.7218374733365307,0,0.8026465575287158,0.24114662484373772,23,4,0,0.0
perishable,1701.6734690087128,0.5612771975694962,0.40955873291675504,9.343300953571552,0,0.7662216054201997,0.12198540413407817,2,5,0,0.0
standard,1664.4285211906754,0.770967179954561,0.6316897872265625,12.941227328073094,0,0.5760714770105317,0.3688984277755462,14,3,1,40.80678821771652
standard,796.5072055288324,0.49379559636439074,0.5769452426439603,12.858103827339665,2,0.5572040670063554,0.3122922864996609,20,5,1,99.1148103167441
standard,1198.7815351614613,0.5227328293819941,0.4215617561169196,10.074772043225979,1,0.7922828557036496,0.063570143633913,18,2,0,0.0
standard,1455.5918171260855,0.42754101835854963,0.5972126941859932,0.6730235754768414,0,0.9931562499765412,0.2217490326077728,18,1,0,0.0
standard,520.3532105246447,0.02541912674409519,0.9472478767062625,12.211700722482261,0,0.5837476314250931,0.26173061808768117,16,3,0,0.0
perishable,377.8751174947568,0.10789142699330445,0.19289374368137735,9.20890049806356,0,0.9430198443177011,0.07326567742219968,13,0,0,0.0
perishable,1945.5871867640064,0.03142918568673425,0.9057720957855263,4.3460795445582825,1,0.7105815576550871,0.06744086090450363,1,1,0,0.0
standard,1254.236760758756,0.6364104112637804,0.053455513983198366,2.6215050638797903,0,0.9077159574989031,0.21223338546981324,22,3,0,0.0
standard,1963.7606575756445,0.3143559810763267,0.30838921290166066,1.6268540819624395,2,0.45203331292935334,0.05068309966816969,13,5,0,0.0
standard,708.6241749078467,0.5085706911647028,0.28814524861152824,0.7033165896086537,0,0.8335624523211416,0.06639244579389773,3,5,0,0.0
standard,1420.9118149495564,0.907566473926093,0.6263651078809057,10.55744547131059,0,0.8844604575192774,0.10779818233417895,13,2,1,41.69167825895278
standard,484.07709125541356,0.24929222914887494,0.13122495177729032,3.3018019852058544,0,0.8825183979309283,0.3684897709101893,10,3,0,0.0
perishable,559.3403339841302,0.41038292303562973,0.8823476118397537,0.33954110460557096,0,0.8492979650896701,0.31819923445444764,11,6,0,0.0
standard,1048.2091364757666,0.7555511385430487,0.8285514084650413,5.5617891257878505,1,0.5129369408128976,0.20764910148305038,12,3,1,103.99150381000945
standard,673.2553447407389,0.22879816549162246,0.6520658196852778,6.756499128292745,0,0.6653651538483283,0.21772198361578204,10,5,0,0.0
standard,376.8620494891397,0.07697990982879299,0.45841383179219775,2.369223232601777,1,0.5097933461224102,0.2901085921870773,16,5,0,0.0
standard,562.6173688791857,0.289751452913768,0.9329560421420784,0.6166767062756968,0,0.5400761346960989,0.21603528771368447,3,1,0,0.0
standard,119.70936920843604,0.16122128725400442,0.8307465547205559,2.647756763372964,0,0.5108532185117417,0.07237378809641386,15,5,0,0.0
perishable,1423.6260618810988,0.9296976523425731,0.4993151480812449,9.50743866571204,0,0.49895893360114785,0.30855598127345335,23,3,0,0.0
standard,1009.6274813174301,0.808120379564417,0.7018733544543112,1.1514114815168897,0,0.7853951707559951,0.07021243897550491,5,4,0,0.0
standard,233.77397948882495,0.6334037565104235,0.5669299521796846,7.770518427797914,0,0.7551845895202323,0.2201325963568102,5,5,0,0.0
standard,384.80328660055784,0.8714605901877177,0.5879422383882645,2.0497678307143334,0,0.4429849642361869,0.35159762835917985,17,1,0,0.0
standard,249.94234931965582,0.8036720768991145,0.33097606943747127,2.7396484301258712,0,0.7840631040700238,0.0910828950098117,20,4,0,0.0
standard,1244.555976137959,0.18657005888603584,0.46208460462489676,5.503090365733781,0,0.5037480171588011,0.297319769365224,23,3,0,0.0
standard,233.7102090443629,0.8925589984899778,0.0781214307897442,1.4115547047522388,0,0.44120283418486156,0.06621477394287595,19,5,0,0.0
standard,1520.8505494186713,0.5393422419156507,0.3573486916645925,2.4248490389509803,1,0.8230763162813493,0.39757086646778445,6,6,1,32.78814764646754
standard,89.9962926747628,0.8074401551640625,0.695828515362152,4.885333760318958,1,0.5540076649661811,0.28873023311275225,14,4,1,15.0
standard,536.2827865919896,0.8960912999234932,0.9532160305061863,4.615366076977136,1,0.6985453670272647,0.38914636661035784,8,6,1,126.2907229161691
standard,1786.800017989219,0.3180034749718639,0.9630641127630203,10.489800799460246,0,0.44008677232593846,0.28387838761253387,4,2,0,0.0
standard,1451.1360703383798,0.11005192452767676,0.5557228691248917,1.046952271769941,1,0.7295856861281439,0.13479909908826426,1,5,0,0.0
perishable,192.28824920509106,0.22793516254194168,0.6066222518095821,12.046310299328809,2,0.44559540421182436,0.3742275797633608,1,2,1,169.6447893731779
standard,1651.1959037461006,0.4271077886262563,0.1857211855009675,11.427250390352368,0,0.4168138464035209,0.2693345646902176,7,3,0,0.0
perishable,1011.4184870033994,0.8180147659224931,0.6953081080935307,10.723882955687138,0,0.5705700002495768,0.25157796771274654,23,4,0,0.0
standard,1701.2269029792171,0.8607305832563434,0.07065879267438624,4.331213074483855,0,0.8530432875904408,0.20018916254892466,7,3,0,0.0
standard,1221.442560178267,0.006952130531190703,0.28468568579944453,11.520344997571025,1,0.42357404378203334,0.14960786829298772,4,2,0,0.0
standard,1379.5744124640746,0.5107473025775657,0.6683633472854422,2.5592291240499314,1,0.3819185972595024,0.23552434937643557,17,4,1,94.96339665129528
pharmaceutical,1987.3280427716309,0.417411003148779,0.3103101315434893,1.7417288819703953,0,0.3221533847232711,0.17812019808392632,15,2,0,0.0
standard,503.05431455183543,0.22210781047073025,0.04984687411445432,0.629388668852823,0,0.5911760295712999,0.3489085415249091,10,4,0,0.0
standard,1266.6938707847073,0.1198653673336828,0.8318704093509638,13.150345082078063,0,0.49741754542783717,0.06007948968871499,13,5,0,0.0
standard,947.6267106119268,0.33761517140362796,0.31033000713456305,4.312152567873832,2,0.5044759154286091,0.2355320197069496,7,1,1,107.19359439657705
standard,126.9313081992483,0.9429097039125192,0.06310522485867842,12.846650322490683,1,0.9873593599566031,0.34279771100045575,19,3,1,39.424038231280925
standard,78.21775093058682,0.32320293202075523,0.07478816450286518,3.8165898612706157,1,0.4358863820335148,0.05966222998404415,9,6,0,0.0
standard,282.4957267448244,0.5187906217433661,0.2517587987887536,12.705923430708893,0,0.6208989353635908,0.148805936692696,21,6,0,0.0
standard,1315.728894050169,0.7030189588951778,0.17801594722152625,12.655006739845236,0,0.9904577198673037,0.06803289482203584,10,5,0,0.0
perishable,1155.9680214311147,0.363629602379294,0.7743001177801508,12.93146463014998,0,0.321432636835409,0.25825131943404017,22,5,0,0.0
standard,1129.1876442692685,0.9717820827209607,0.32168404666703443,6.946148149978713,0,0.7876602112727524,0.16085762603710624,18,4,0,0.0
perishable,112.12068693010717,0.9624472949421112,0.8046957850398325,12.123248015184487,0,0.5597580665773938,0.38590551327057404,17,5,1,51.11464255268734
perishable,965.1408429020138,0.25178229582536416,0.1738459978231528,13.310722546342483,1,0.9342683295282366,0.2657027620774857,17,5,0,0.0
perishable,1853.0144947929307,0.49724850589238545,0.4928791795440838,4.544637186560513,1,0.9383590064089518,0.24663070164167822,18,4,0,0.0
standard,825.3041451557609,0.30087830981676966,0.6880371335531288,5.8642416795557715,1,0.5710489151575022,0.3710339178709472,6,1,1,71.61818954923129
standard,1268.59881608749,0.2848404943774676,0.6519908538658549,10.069362622700416,0,0.45502442569618495,0.12825139212482073,7,0,0,0.0
pharmaceutical,1570.6464174651298,0.036886947354532795,0.6011294099302688,4.205037504126213,0,0.5996024068105741,0.24678479083298266,14,1,0,0.0
standard,1578.6542943266809,0.6095643339798968,0.9248216019311698,10.553330324777225,0,0.9757143922300782,0.23997392223541375,15,4,1,37.47103707427277
standard,1062.5961606707792,0.5026790232288615,0.22852514770674437,1.034490032989475,1,0.4969790123843174,0.07873998200882765,19,5,0,0.0
standard,1723.0062935345559,0.05147875124998935,0.4937192044621054,7.328977380039591,0,0.9869224587631227,0.37622092523088463,18,5,0,0.0
perishable,813.1872820593065,0.27864646423661144,0.8839925500724087,1.7123887771724329,0,0.873574048457779,0.29508215629166784,10,6,0,0.0
standard,1782.9517688303567,0.9082658859666537,0.07789376559515704,4.1065286701134704,0,0.4872166320753331,0.36083704738795785,6,0,0,0.0
standard,518.4429744713134,0.23956189066697242,0.055888268253075246,3.6207554948106075,2,0.8537486269580308,0.3938880854155683,18,5,1,39.656359990866974
standard,596.4219936316135,0.1448948720912231,0.2333022875582914,11.745049029877325,0,0.3348596101924889,0.21787888680434547,23,2,0,0.0
standard,153.58521718805213,0.489452760277563,0.6330212195380185,2.7092415756867645,3,0.6836443635880749,0.33128094473013386,19,3,1,163.9769205879279
standard,1601.3845812574516,0.9856504541106007,0.2598796264498069,11.318270882227665,0,0.5501443974181508,0.2521459074548718,15,6,1,32.53727383419559
standard,863.2577106537759,0.2420552715115004,0.19023988380879897,11.115444842710907,0,0.5988551988685955,0.39199306708103326,7,0,0,0.0
standard,496.77739712722814,0.6721355474058786,0.4588023153582921,6.984362777801218,2,0.6309980366519803,0.13652825443769062,17,2,1,36.377120986969146
perishable,501.99104135233034,0.7616196153287176,0.6135980687694115,3.2738055783458146,0,0.6518989321394848,0.05483600984662762,23,5,1,27.80631516510593
standard,1807.7298853970046,0.23763754399239967,0.2485577070167404,3.176548759387118,1,0.7594885921422909,0.11508164994352858,7,6,0,0.0
standard,1676.137370899022,0.7282163486118596,0.30069118672374207,6.508945059621869,1,0.7877439194475839,0.09480657370306478,12,4,1,76.14517710658234
standard,1129.3852264465074,0.3677831327192532,0.6135593048115139,0.12332610350922835,0,0.9829928256329472,0.2029333089649954,9,0,0,0.0
perishable,1251.416060810656,0.6323058305935795,0.9457384219894527,7.4389105645591265,0,0.8339450681071368,0.07709357131228713,18,1,0,0.0
perishable,974.9348625730674,0.6335297107608947,0.6747417274380882,13.338913360738776,1,0.7814584430017608,0.12706920799892069,17,5,1,89.65129437814701
perishable,813.7497586136773,0.5357746840747585,0.78290414358456,2.165896346076351,0,0.5747212187514994,0.08369305818368596,22,3,0,0.0
standard,1835.1799183757464,0.0902897700544083,0.3668100947554688,8.026838700658448,0,0.38246564514107173,0.22036347239031345,9,5,0,0.0
standard,294.94477186458903,0.835302495589238,0.27225435938446607,13.464901641022395,1,0.34115189361196774,0.1433719752302056,0,6,1,74.67910118434068
standard,865.9712399466445,0.32078006497173583,0.45426774320262253,12.047309952882403,0,0.6343792972276012,0.21485255436251544,4,1,0,0.0
standard,721.8957205763569,0.18651851039985423,0.8071328287116737,11.905321629338763,1,0.7677796988390827,0.08111083501556685,2,1,0,0.0
standard,1021.3939044897393,0.040775141554763916,0.4562996417905558,11.505899025546647,1,0.7551118958808896,0.230904733105263,8,3,0,0.0
perishable,942.3821553630913,0.5908929431882418,0.846725408789861,4.326330484786599,0,0.9670029941225826,0.09552422065025823,7,1,0,0.0
standard,1061.8345867196088,0.6775643618422824,0.9887719806951271,12.468635637735371,0,0.5677009812696379,0.0847712579971259,15,4,0,0.0
standard,322.8420055926385,0.016587828927856152,0.07202666573033634,13.178764917264395,2,0.7394486692677218,0.1585068427295131,9,1,1,67.78527356357152
standard,1050.6259279508904,0.512093058299281,0.04541015608370369,6.941093926186552,0,0.9215116753161714,0.35604611676190795,18,6,0,0.0
standard,522.7166870800612,0.22649577519793795,0.14958970291336182,4.963994661632423,0,0.5828544296045974,0.3259824910245774,13,4,0,0.0
standard,409.446130526973,0.6451727904094499,0.3843696757343462,5.799206218481986,0,0.63442020699548,0.3857024308047728,22,1,0,0.0
standard,176.4267266330729,0.17436642900499144,0.1310422091454324,4.678890185637718,0,0.9460810271376168,0.21106834253480594,4,5,0,0.0
standard,1537.1724895744749,0.690937738102466,0.870664477618756,2.973858188343561,1,0.6851693671210796,0.15935449806039517,5,4,1,72.70048350347165
standard,883.5117456702919,0.3867353463005374,0.023146251027063802,8.65827858354045,1,0.8597269567855643,0.38981735614980884,7,0,0,0.0
standard,1271.9551824579287,0.9367299887367345,0.3157927163358225,7.87635640743452,0,0.9549366853559396,0.1836188273937479,10,4,0,0.0
standard,1468.8070194442496,0.13752094414599325,0.18469462949420534,6.476190994549858,1,0.6997406269892014,0.05318619217599582,7,6,0,0.0
standard,1374.6674973614292,0.3410663510502585,0.9315393301575323,1.341835413587645,0,0.3764308782960839,0.33703801483411217,22,5,0,0.0
perishable,967.4764022248804,0.11347352124058907,0.6694810048900279,11.156501505883996,0,0.875189967642072,0.10922368933830393,12,3,0,0.0
pharmaceutical,806.4021314558731,0.9246936182785628,0.9120302564513745,2.4490698785110485,0,0.8724475157774125,0.3012693499985769,0,1,1,15.0
standard,783.1218237992942,0.877339353380981,0.9723287103103934,1.603868607544674,0,0.38048963604046077,0.055292661658326046,16,5,1,33.649028204862475
perishable,1298.0951540136098,0.2579416277151556,0.4970982436773692,8.722999536761264,0,0.6836827061308927,0.08884655743831316,15,0,0,0.0
standard,1014.8489921366531,0.659984046034179,0.23431910804802625,5.581021057328124,0,0.640959944816627,0.21924724365353565,21,1,0,0.0
standard,1705.8078835775957,0.8172222002012158,0.1937287861965893,0.8373186549326126,1,0.8930140528944768,0.07376430926793918,8,5,0,0.0
standard,1755.6688694370887,0.5552008115994623,0.22291886168584052,4.977956969454815,0,0.4922394827203654,0.3610208134904452,7,4,0,0.0
standard,382.592737112711,0.5296505783560065,0.7085933076220029,10.80492493198948,2,0.5983943958002006,0.3124541714439974,0,1,1,167.54743268874174
standard,315.655620514165,0.24185229090045168,0.040445728123000735,8.613488873039366,0,0.7233537313173937,0.16486485920705946,7,6,0,0.0
standard,1279.281805770199,0.09310276780589921,0.051361073032714866,5.079004321817955,1,0.6620716348487128,0.25913214503884624,4,5,0,0.0
pharmaceutical,637.3902087214449,0.8972157579533268,0.60814294238315,2.6852670828842333,0,0.9685239922854862,0.3004343573385858,17,2,0,0.0
standard,86.21290159194277,0.9004180571633305,0.6420571467374065,8.845138691266826,0,0.9724601294129551,0.31438971601976917,6,0,0,0.0
standard,1782.8532052577625,0.6331014572732679,0.66526292432246,12.425774213248975,1,0.357100743549082,0.18848658407075736,17,5,1,109.70909585488852
standard,492.4564961254261,0.3390297910487007,0.37188050458859123,9.047818052222793,0,0.5084928946063849,0.36458007725766756,15,2,0,0.0
pharmaceutical,1862.0972707873277,0.3492095746126609,0.8059448887141532,11.38065396510314,0,0.3052743709980995,0.37962465551644115,11,1,0,0.0
pharmaceutical,1448.9971792125946,0.7259556788702394,0.5336245877266176,7.301389739761194,1,0.5925022439532781,0.1185003379291061,3,4,1,72.77394675211713
standard,1537.1743053273944,0.8971102599525771,0.10546563000941944,10.051595494374403,1,0.7634973370168885,0.36893357990868836,12,0,0,0.0
standard,442.8499167966628,0.8870864242651173,0.7970993070673452,12.547174832896934,1,0.6298993467601054,0.29943817885081964,10,5,1,145.50897042290586
standard,506.6791299527852,0.7798755458576239,0.9530677862704583,10.824505695621172,0,0.34702731149210037,0.3608483224480838,15,0,1,25.021144727683385
